Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
M Spatial Sciences (research);M Spatial Sciences (research);60660;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;GEDRAG_EN_MAATSCHAPPIJ;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Environmental and Infrastructure Planning;M Environmental and Infrastructure Planning;66194;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;GEDRAG_EN_MAATSCHAPPIJ;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Planologie;M Planologie;66622;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;GEDRAG_EN_MAATSCHAPPIJ;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Society, Sustainability and Planning;M Society, Sustainability and Planning;66653;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;GEDRAG_EN_MAATSCHAPPIJ;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Spatial Planning;M Spatial Planning;66655;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;GEDRAG_EN_MAATSCHAPPIJ;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Master Urban Management;M Master Urban Management;49299;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;GEDRAG_EN_MAATSCHAPPIJ;Master - bouwkunde, civiele techniek en architectuur;;;;;;
B Human Geography and Planning;B Human Geography and Planning;50974;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Bachelor - psychologie, sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie, Sociale en Maatschappijwetenschappen
B Sociale Geografie en Planologie;B Sociale Geografie en Planologie;56838;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Bachelor - psychologie, sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie, Sociale en Maatschappijwetenschappen
M Human Geography and Planning (research);M Human Geography and Planning (research);60166;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Human Geography;M Human Geography;60466;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Cultural Geography;M Cultural Geography;60656;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Economic Geography;M Economic Geography;60657;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Population Studies;M Population Studies;60658;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociologie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Sociale Geografie;M Sociale Geografie;66620;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociale geografie;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
B Sportkunde;B Sportkunde;34040;Sport en Beweging;Overig;dienstverlening;persoonlijke dienstverlening;GEDRAG_EN_MAATSCHAPPIJ;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;sport en bewegen algemeen;sport;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Sport;Ad Sport;80173;Sport en Beweging;Overig;dienstverlening;persoonlijke dienstverlening;GEDRAG_EN_MAATSCHAPPIJ;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;sport en bewegen algemeen;sport;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Pastoraal Werk;Ad Pastoraal Werk;80146;Theologie en Religiewetenschappen;Antropologie, Sociologie, Filosofie en Theologie;vormgeving, kunst, talen en geschiedenis;geesteswetenschappen;GEDRAG_EN_MAATSCHAPPIJ;Bachelor - taal en cultuur;;theologie;theologie, levensbeschouwing;Economie en Maatschappij;Kunst, Taal en Cultuur;Taal en Cultuur
M Real Estate Studies;M Real Estate Studies;60659;Vastgoed;Overig;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEDRAG_EN_MAATSCHAPPIJ;Master - financieel management en fiscaal recht;;makelaardij, vastgoedkunde;groothandel en detailhandel;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Conflict Resolution and Governance;M Conflict Resolution and Governance;69314;Veiligheidskunde;Veiligheid, Forensisch Onderzoek en Criminologie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;politicologie;politicologie en maatschappijwetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Crisis and Security Management;M Crisis and Security Management;60417;Veiligheidskunde;Veiligheid, Forensisch Onderzoek en Criminologie;dienstverlening;openbare veiligheid;GEDRAG_EN_MAATSCHAPPIJ;Master - overig;;beveiliging algemeen;openbare orde en veiligheid;Overig;Overig;Overig
M Methodology and Statistics for the Behavioural, Biomedical and Social Sciences (research);M Methodology and Statistics for the Behavioural, Biomedical and Social Sciences (research);60384;Wiskunde;Wis-, Natuur- en Sterrenkunde;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEDRAG_EN_MAATSCHAPPIJ;Master - sociale en maatschappijwetenschappen;;sociale wetenschappen;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
M Health Innovation;M Health Innovation;40120;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Health Innovation;M Health Innovation;40120;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
B Biomedische Wetenschappen;B Biomedische Wetenschappen;56990;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;GEZONDHEIDSZORG;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Biomedical Sciences;B Biomedical Sciences;59324;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;GEZONDHEIDSZORG;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Molecular Medicine (research);M Molecular Medicine (research);60279;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;GEZONDHEIDSZORG;Master - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Genomics in Society (research);M Genomics in Society (research);60987;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;GEZONDHEIDSZORG;Master - landbouw, biologie en biochemische technologie;Niet helemaal medisch gericht;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biomedical Sciences;M Biomedical Sciences;66990;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;GEZONDHEIDSZORG;Master - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Infection and Immunity (research);M Infection and Immunity (research);60375;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;Meer richting biomedisch;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Oncology;M Oncology;60811;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Personalized Medicine (research);M Personalized Medicine (research);66586;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Epidemiology;M Epidemiology;60011;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;Meer richting biomedisch;gezondheidszorg overig;gezondheidszorg overig;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Technical Medicine;M Technical Medicine;60033;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Technical Medicine (joint degree);M Technical Medicine (joint degree);65019;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
B Medisch Beeldvormende en Radiotherapeutische Technieken;B Medisch Beeldvormende en Radiotherapeutische Technieken;34561;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;radiologie, beeldvormende technieken;medische diagnostiek en medische technologie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Tandprothetiek;B Tandprothetiek;39252;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;tandtechniek;tandheelkunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Klinische Technologie;B Klinische Technologie;50033;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;hart-, longfunctie en overige medische techniek;medische diagnostiek en medische technologie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Klinische Technologie (joint degree);B Klinische Technologie (joint degree);55007;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;hart-, longfunctie en overige medische techniek;medische diagnostiek en medische technologie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
Ad Zorg en Technologie;Ad Zorg en Technologie;80131;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;hart-, longfunctie en overige medische techniek;medische diagnostiek en medische technologie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Regenerative Medicine and Technology;B Regenerative Medicine and Technology;59346;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;ROA NOG NIET INGEDEELD;;;;;;
M Cognitive and Clinical Neuroscience (research);M Cognitive and Clinical Neuroscience (research);60121;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Neuroscience (research);M Neuroscience (research);60278;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Neuroscience and Cognition;M Neuroscience and Cognition;60704;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Diergeneeskunde;M Diergeneeskunde;66570;Diergeneeskunde;Gezondheidszorg - klinisch en paramedisch;landbouw, diergeneeskunde en -verzorging;diergeneeskunde en -verzorging;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;diergeneeskunde en -verzorging;diergeneeskunde en -verzorging;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
B Diergeneeskunde;B Diergeneeskunde;56570;Diergeneeskunde;Gezondheidszorg - klinisch en paramedisch;landbouw, diergeneeskunde en -verzorging;diergeneeskunde en -verzorging;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;diergeneeskunde en -verzorging;diergeneeskunde en -verzorging;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Farmakunde;B Farmakunde;34090;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
M Health Sciences (research);M Health Sciences (research);60120;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Clinical and Psychosocial Epidemiology (research);M Clinical and Psychosocial Epidemiology (research);60399;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;Bij gezondheidswetenschappen?;gezondheidszorg overig;gezondheidszorg overig;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Health Education and Promotion;M Health Education and Promotion;60461;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Health, Ageing and Society;M Health, Ageing and Society;60515;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Klinische Gezondheidswetenschappen;M Klinische Gezondheidswetenschappen;66563;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;3 verschillende masterprogramma's: fysio, verpleegkunde en gezondheidswetenschappen;verpleging;verpleeg- en verloskunde;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Health Sciences;M Health Sciences;66851;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Global Health;M Global Health;66902;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Global Health (research);M Global Health (research);66903;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Healthy Ageing Professional;M Healthy Ageing Professional;49127;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Healthy Ageing Professional;M Healthy Ageing Professional;49127;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Gezondheidsinnovatie;M Gezondheidsinnovatie;49145;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
B Gezondheid;B Gezondheid;39308;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B European Public Health;B European Public Health;50296;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Gezondheid en Leven;B Gezondheid en Leven;50509;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Zorg, Gezondheid & Samenleving;B Zorg, Gezondheid & Samenleving;50981;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Gezondheidswetenschappen;B Gezondheidswetenschappen;56553;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
M Gezond Gedrag en Leefomgeving;M Gezond Gedrag en Leefomgeving;45295;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;ROA NOG NIET INGEDEELD;;;;;;
M Advanced Health Informatics Practice;M Advanced Health Informatics Practice;49298;Gezondheidswetenschappen;Gezondheidszorg - onderzoek en techniek;informatica;informatica;GEZONDHEIDSZORG;Master - informatica;;;;;;
B Medische Informatiekunde;B Medische Informatiekunde;56573;ICT;ICT en Cybersecurity;informatica;informatica;GEZONDHEIDSZORG;Bachelor - informatica;;bedrijfsinformatica;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Medical Informatics;M Medical Informatics;66573;ICT;ICT en Cybersecurity;informatica;informatica;GEZONDHEIDSZORG;Master - informatica;;bedrijfsinformatica;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Clinical Research (research);M Clinical Research (research);60312;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Geneeskunde;M Geneeskunde;66551;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Geneeskunde, klinisch onderzoeker;M Geneeskunde, klinisch onderzoeker;66583;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Geneeskunde en Klinisch Onderzoek (research);M Geneeskunde en Klinisch Onderzoek (research);66585;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
M Tandheelkunde;M Tandheelkunde;66588;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;tandarts;tandheelkunde;Zorg en Onderwijs;Gezondheidszorg;(Dier)Geneeskunde en Tandheelkunde
B Geneeskunde;B Geneeskunde;56551;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;(huis)arts, specialist, geneeskunde;geneeskunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Tandheelkunde;B Tandheelkunde;56560;Medisch Specialistische Opleidingen;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;tandarts;tandheelkunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
M Psychomotorische Therapie;M Psychomotorische Therapie;40065;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;;;;;
